"Characteristics","Estimate"
"      Total","74,299"
"",""
"Value",""
"",""
"Less than $10,000","1,597"
"$10,000 to $19,999","1,422"
"$20,000 to $29,999","1,161"
"$30,000 to $39,999","1,096"
"$40,000 to $59,999","3,090"
"$60,000 to $79,999","4,595"
"$80,000 to $99,999","5,218"
"$100,000 to $119,999","4,577"
"$120,000 to $149,999","7,253"
"$150,000 to $199,999","10,438"
"$200,000 to $299,999","13,392"
"$300,000 to $399,999","7,819"
"$400,000 to $499,999","4,351"
"$500,000 to $749,999","4,906"
"$750,000 or more","3,384"
"Median (dollars)","180,000"
"",""
"Ratio of Value to Household Income",""
"",""
"Less than 1.5","17,538"
"1.5 to 1.9","8,834"
"2.0 to 2.4","8,229"
"2.5 to 2.9","6,649"
"3.0 to 3.9","9,060"
"4.0 to 4.9","5,378"
"5.0 to 6.9","6,209"
"7.0 to 8.9","3,173"
"9.0 to 10.9","1,861"
"11 or more","6,517"
"Zero or negative income","851"
"Median (ratio)","2.6"
"",""
"Year Unit Acquired",""
"",""
"2010 to 2015","18,663"
"2005 to 2009","13,814"
"2000 to 2004","11,780"
"1995 to 1999","9,152"
"1990 to 1994","5,775"
"1985 to 1989","4,444"
"1980 to 1984","2,820"
"1975 to 1979","2,868"
"1970 to 1974","2,023"
"1960 to 1969","2,158"
"1950 to 1959","687"
"1940 to 1949","80"
"1939 or earlier","S"
"Median (year)","2003"
"",""
"Purchase Price",""
"",""
"Home purchased or built","70,354"
"  Less than $10,000","1,868"
"  $10,000 to $19,999","2,771"
"  $20,000 to $29,999","2,553"
"  $30,000 to $39,999","2,627"
"  $40,000 to $49,999","2,456"
"  $50,000 to $59,999","2,510"
"  $60,000 to $69,999","2,668"
"  $70,000 to $79,999","2,578"
"  $80,000 to $99,999","4,720"
"  $100,000 to $119,999","4,163"
"  $120,000 to $149,999","6,330"
"  $150,000 to $199,999","8,172"
"  $200,000 to $249,999","5,094"
"  $250,000 to $299,999","3,621"
"  $300,000 or more","9,981"
"  Not reported","8,241"
"  Median (dollars)","128,000"
"Received as inheritance or gift","2,764"
"Not reported","1,181"
"",""
"Down Payment",""
"",""
"      Home purchased or built","70,354"
"No down payment","9,267"
"Less than 3 percent","2,262"
"3 to 5 percent","6,614"
"6 to 10 percent","9,055"
"11 to 15 percent","3,532"
"16 to 20 percent","9,117"
"21 to 40 percent","6,978"
"41 to 99 percent","3,720"
"Bought outright","5,869"
"Not reported","13,940"
"",""
"Major Source of Down Payment",""
"",""
"      Home purchased or built","70,354"
"Sale of previous home","18,649"
"Savings or cash on hand","31,651"
"Sale of other investment","588"
"Borrowing, other than mortgage on this property","2,048"
"Inheritance or gift","1,882"
"Land where building built used for financing","510"
"Other","3,003"
"No down payment","8,180"
"Not reported","3,842"
"",""
"How Acquired",""
"",""
"Already built","58,250"
"Sales agreement","4,740"
"Contractor","3,846"
"Built it yourself","3,517"
"Received as inheritance or gift","2,764"
"Not reported","1,181"
"",""
"First-Time Owners",""
"",""
"First home ever owned","31,638"
"Not first home","40,755"
"Not reported","1,906"
"",""
"Lead Pipes",""
"",""
"Pipes inspected for lead before purchase","22,733"
"Pipes not inspected for lead before purchase","45,179"
"Not reported","6,386"
