"Characteristics","Estimate"
"      Total","79,475"
"",""
"Value",""
"",""
"Less than $10,000","1,164"
"$10,000 to $19,999","1,188"
"$20,000 to $29,999","1,066"
"$30,000 to $39,999","981"
"$40,000 to $59,999","2,209"
"$60,000 to $79,999","3,292"
"$80,000 to $99,999","3,910"
"$100,000 to $119,999","3,299"
"$120,000 to $149,999","5,883"
"$150,000 to $199,999","10,377"
"$200,000 to $299,999","15,937"
"$300,000 to $399,999","10,454"
"$400,000 to $499,999","6,682"
"$500,000 to $749,999","7,271"
"$750,000 or more","5,761"
"Median (dollars)","230,000"
"Mean (dollars)","322,600"
"",""
"Ratio of Value to Household Income",""
"",""
"Less than 1.5","15,547"
"1.5 to 1.9","9,263"
"2.0 to 2.4","8,672"
"2.5 to 2.9","7,086"
"3.0 to 3.9","9,779"
"4.0 to 4.9","6,603"
"5.0 to 6.9","7,438"
"7.0 to 8.9","3,712"
"9.0 to 10.9","2,139"
"11 or more","8,273"
"Zero or negative income","962"
"Median (ratio)","2.9"
"Mean (ratio)","31.6"
"",""
"Year Unit Acquired",""
"",""
"2016 to 2019","17,557"
"2010 to 2015","15,903"
"2005 to 2009","10,670"
"2000 to 2004","9,691"
"1995 to 1999","7,938"
"1990 to 1994","4,941"
"1985 to 1989","3,759"
"1980 to 1984","2,563"
"1975 to 1979","2,437"
"1970 to 1974","1,860"
"1960 to 1969","1,665"
"1950 to 1959","436"
"1940 to 1949","44"
"1939 or earlier","S"
"Median (year)","2006"
"Mean (year)","2003"
"",""
"Purchase Price",""
"",""
"Home purchased or built","73,479"
"  Less than $10,000","1,763"
"  $10,000 to $19,999","2,308"
"  $20,000 to $29,999","2,113"
"  $30,000 to $39,999","2,270"
"  $40,000 to $49,999","2,051"
"  $50,000 to $59,999","2,159"
"  $60,000 to $69,999","2,371"
"  $70,000 to $79,999","2,389"
"  $80,000 to $99,999","4,528"
"  $100,000 to $119,999","4,058"
"  $120,000 to $149,999","6,156"
"  $150,000 to $199,999","8,624"
"  $200,000 to $249,999","6,046"
"  $250,000 to $299,999","4,526"
"  $300,000 or more","13,623"
"  Not reported","8,495"
"  Median (dollars)","150,000"
"  Mean (dollars)","211,200"
"Received as inheritance or gift","2,967"
"Not reported","3,029"
"",""
"Down Payment",""
"",""
"      Home purchased or built","73,479"
"No down payment","9,020"
"Less than 3 percent","2,343"
"3 to 5 percent","7,626"
"6 to 10 percent","9,329"
"11 to 15 percent","3,686"
"16 to 20 percent","10,318"
"21 to 40 percent","6,726"
"41 to 99 percent","3,704"
"Bought outright","6,103"
"Not reported","14,623"
"",""
"Major Source of Down Payment",""
"",""
"      Home purchased or built","73,479"
"Sale of previous home","20,326"
"Savings or cash on hand","32,512"
"Sale of other investment","603"
"Borrowing, other than mortgage on this property","2,672"
"Inheritance or gift","2,137"
"Land where building built used for financing","459"
"Other","2,610"
"No down payment","7,905"
"Not reported","4,255"
"",""
"How Acquired",""
"",""
"Already built","62,411"
"Sales agreement","4,303"
"Contractor","3,557"
"Built it yourself","3,208"
"Received as inheritance or gift","2,967"
"Not reported","3,029"
"",""
"First-Time Owners",""
"",""
"First home ever owned","32,386"
"Not first home","42,456"
"Not reported","4,633"
"",""
"Lead Pipes",""
"",""
"Pipes inspected for lead before purchase","29,788"
"Pipes not inspected for lead before purchase","46,175"
"Not reported","3,513"
