"Characteristics","Estimate"
"      Total","75,650"
"",""
"Value",""
"",""
"Less than $10,000","1,672"
"$10,000 to $19,999","1,228"
"$20,000 to $29,999","1,362"
"$30,000 to $39,999","1,366"
"$40,000 to $59,999","3,731"
"$60,000 to $79,999","4,987"
"$80,000 to $99,999","5,853"
"$100,000 to $119,999","4,948"
"$120,000 to $149,999","7,703"
"$150,000 to $199,999","11,161"
"$200,000 to $299,999","13,185"
"$300,000 to $399,999","7,506"
"$400,000 to $499,999","3,968"
"$500,000 to $749,999","4,212"
"$750,000 or more","2,770"
"Median (dollars)","160,000"
"",""
"Ratio of Value to Current Income",""
"",""
"Less than 1.5","17,256"
"1.5 to 1.9","9,003"
"2.0 to 2.4","8,220"
"2.5 to 2.9","6,372"
"3.0 to 3.9","9,336"
"4.0 to 4.9","5,629"
"5.0 to 6.9","6,654"
"7.0 to 8.9","3,403"
"9.0 to 10.9","1,894"
"11 or more","6,685"
"Zero or negative income","1,198"
"Median (ratio)","2.7"
"",""
"Other Activities on Property",""
"",""
"Medical or commercial establishment","644"
"Neither","75,006"
"",""
"Year Unit Acquired",""
"",""
"2010 to 2014","11,627"
"2005 to 2009","16,361"
"2000 to 2004","13,686"
"1995 to 1999","9,857"
"1990 to 1994","6,747"
"1985 to 1989","4,901"
"1980 to 1984","2,951"
"1975 to 1979","3,373"
"1970 to 1974","2,194"
"1960 to 1969","2,698"
"1950 to 1959","1,062"
"1940 to 1949","150"
"1939 or earlier","43"
"Median (year)","2001"
"",""
"Purchase Price",""
"",""
"Home purchased or built","70,726"
"  Less than $10,000","2,512"
"  $10,000 to $19,999","3,690"
"  $20,000 to $29,999","3,420"
"  $30,000 to $39,999","3,242"
"  $40,000 to $49,999","2,872"
"  $50,000 to $59,999","2,824"
"  $60,000 to $69,999","2,943"
"  $70,000 to $79,999","2,831"
"  $80,000 to $99,999","5,386"
"  $100,000 to $119,999","4,313"
"  $120,000 to $149,999","6,708"
"  $150,000 to $199,999","8,320"
"  $200,000 to $249,999","5,184"
"  $250,000 to $299,999","3,397"
"  $300,000 or more","9,163"
"  Not reported","3,920"
"  Median (dollars)","116,000"
"Received as inheritance or gift","3,641"
"Not reported","1,283"
"",""
"Down Payment",""
"",""
"      Home purchased or built","70,726"
"No down payment","7,367"
"Less than 3 percent","5,351"
"3 to 5 percent","8,056"
"6 to 10 percent","9,947"
"11 to 15 percent","3,956"
"16 to 20 percent","8,856"
"21 to 40 percent","8,318"
"41 to 99 percent","4,620"
"Bought outright","6,846"
"Not reported","7,408"
"",""
"Major Source of Down Payment",""
"",""
"      Home purchased or built","70,726"
"Sale of previous home","20,172"
"Savings or cash on hand","32,881"
"Sale of other investment","727"
"Borrowing, other than mortgage on this property","2,203"
"Inheritance or gift","1,499"
"Land where building built used for financing","605"
"Other","3,319"
"No down payment","7,367"
"Not reported","1,954"
"",""
"How Acquired",""
"",""
"      First occupant in single-family unit built 2010 or later","1,105"
"Already built","376"
"Sales agreement","357"
"Contractor","211"
"Built it yourself","134"
"Received as inheritance or gift","3"
"Not reported","24"
"",""
"Previous Occupancy",""
"",""
"      Unit built 2010 or later","1,550"
"Previously occupied","243"
"Not previously occupied","1,211"
"Not reported","96"
"",""
"First-Time Owners",""
"",""
"First home ever owned","31,588"
"Not first home","42,520"
"Not reported","1,542"
"",""
