"Characteristics","Estimate"
"      Total","77,567"
"",""
"Value",""
"",""
"Less than $10,000","1,693"
"$10,000 to $19,999","1,027"
"$20,000 to $29,999","1,094"
"$30,000 to $39,999","968"
"$40,000 to $59,999","2,742"
"$60,000 to $79,999","3,735"
"$80,000 to $99,999","4,478"
"$100,000 to $119,999","3,834"
"$120,000 to $149,999","6,508"
"$150,000 to $199,999","10,438"
"$200,000 to $299,999","15,349"
"$300,000 to $399,999","9,350"
"$400,000 to $499,999","5,514"
"$500,000 to $749,999","6,121"
"$750,000 or more","4,716"
"Median (dollars)","200,000"
"",""
"Ratio of Value to Household Income",""
"",""
"Less than 1.5","15,935"
"1.5 to 1.9","9,321"
"2.0 to 2.4","8,349"
"2.5 to 2.9","7,089"
"3.0 to 3.9","9,514"
"4.0 to 4.9","6,202"
"5.0 to 6.9","7,107"
"7.0 to 8.9","3,630"
"9.0 to 10.9","1,989"
"11 or more","7,483"
"Zero or negative income","948"
"Median (ratio)","2.8"
"",""
"Year Unit Acquired",""
"",""
"2016 to 2017","7,738"
"2010 to 2015","18,722"
"2005 to 2009","12,176"
"2000 to 2004","10,868"
"1995 to 1999","8,554"
"1990 to 1994","5,470"
"1985 to 1989","4,264"
"1980 to 1984","2,663"
"1975 to 1979","2,588"
"1970 to 1974","1,948"
"1960 to 1969","1,974"
"1950 to 1959","540"
"1940 to 1949","53"
"1939 or earlier","S"
"Median (year)","2004"
"",""
"Purchase Price",""
"",""
"Home purchased or built","70,607"
"  Less than $10,000","1,859"
"  $10,000 to $19,999","2,381"
"  $20,000 to $29,999","2,422"
"  $30,000 to $39,999","2,362"
"  $40,000 to $49,999","2,285"
"  $50,000 to $59,999","2,428"
"  $60,000 to $69,999","2,492"
"  $70,000 to $79,999","2,467"
"  $80,000 to $99,999","4,795"
"  $100,000 to $119,999","4,005"
"  $120,000 to $149,999","6,314"
"  $150,000 to $199,999","8,313"
"  $200,000 to $249,999","5,546"
"  $250,000 to $299,999","4,143"
"  $300,000 or more","11,506"
"  Not reported","7,289"
"  Median (dollars)","137,000"
"Received as inheritance or gift","2,828"
"Not reported","4,132"
"",""
"Down Payment",""
"",""
"      Home purchased or built","70,607"
"No down payment","9,290"
"Less than 3 percent","2,245"
"3 to 5 percent","7,172"
"6 to 10 percent","9,417"
"11 to 15 percent","3,411"
"16 to 20 percent","9,688"
"21 to 40 percent","7,219"
"41 to 99 percent","3,459"
"Bought outright","5,973"
"Not reported","12,734"
"",""
"Major Source of Down Payment",""
"",""
"      Home purchased or built","70,607"
"Sale of previous home","19,145"
"Savings or cash on hand","32,313"
"Sale of other investment","686"
"Borrowing, other than mortgage on this property","2,418"
"Inheritance or gift","2,124"
"Land where building built used for financing","479"
"Other","2,428"
"No down payment","8,141"
"Not reported","2,873"
"",""
"How Acquired",""
"",""
"Already built","59,154"
"Sales agreement","4,440"
"Contractor","3,858"
"Built it yourself","3,156"
"Received as inheritance or gift","2,828"
"Not reported","4,132"
"",""
"First-Time Owners",""
"",""
"First home ever owned","31,600"
"Not first home","41,373"
"Not reported","4,594"
"",""
"Lead Pipes",""
"",""
"Pipes inspected for lead before purchase","26,689"
"Pipes not inspected for lead before purchase","45,337"
"Not reported","5,541"
